sent_id,observation_id,common_name,text,SPECIES,BEHAVIOR,HABITAT,notes,annotator,confidence
191709309_0,191709309,Marsh Rabbit,"Class Mammalia; presence of fur Order: Lagomorpha; the elongated hind limbs, saltatory locomotion, and large ears indicate this order The rabbit was found on a warm, partly cloudy day at Sweetwater wetlands park in a bush mid way through the trail.",rabbit,found,park; trail,,,
211342217_0,211342217,Domestic Rabbit,"not sure if this counts as captive or wild; these (presumably escaped abandoned) bunnies seem to be doing fine in the neighborhood for several months now Domestic Rabbit (Oryctolagus cuniculus domesticus) observed at Derby Ln, Weston, FL, US.",Rabbit,observed,neighborhood,,,
199605497_0,199605497,Common Raccoon,"(Deceased) what the heck is this ?? my best guess is a coatí or an albino raccoon - but we were not able to see the face but you can see it s ear Common Raccoon (Procyon lotor) observed at Jonathan Dickinson State Park, Hobe Sound, FL, US.",Common Raccoon; raccoon; Procyon lotor,observed,Park,,,
222893779_0,222893779,Florida Manatee,"Many Florida Manatees spotted munching on sea grass in the Florida Bay side of the Flamingo Marina in Everglades National Park Florida Manatee (Trichechus manatus latirostris) observed at Everglades National Park, Monroe County, US-FL, US.",Florida Manatee; Trichechus manatus latirostris,spotted; observed,Everglades; Bay; Park,,,
146804960_3,146804960,Tri-coloured Bat,"Check out the Bat Spectrogram project here: More info about how to view spectrograms on Kaleidoscope (free software by Wilfelife Acoustics) here: Tri-coloured Bat (Perimyotis subflavus) observed at Everglades National Park, US-FL, US.",Bat,observed,Everglades; Park,,,
182952357_4,182952357,Florida Manatee,"It moved with strong tail paddles when travelling up and down the river, but while foraging used its front flippers to manoeuvre. reference - Florida Manatee (Trichechus manatus latirostris) observed at Volusia County, US-FL, US.",Florida Manatee; Trichechus manatus latirostris,observed; foraging,river,,,
189393695_3,189393695,Eastern Gray Squirrel,"Info: It is native to eastern North America, where it is the most prodigious and ecologically essential natural forest regenerator ( ) Eastern Gray Squirrel (Sciurus carolinensis) observed at Amelia Earhart Park, Hialeah, FL, US.",Sciurus carolinensis; Eastern Gray Squirrel,observed,forest; Park,,,
213148643_0,213148643,Virginia Opossum,"DOR Virginia opossum; pp254; good condition; 10:11; removed from road About a dozen dumped fish nearby Virginia Opossum (Didelphis virginiana) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Virginia opossum; Virginia Opossum; Didelphis virginiana,observed,Park; road; Hammock,,,
247835084_0,247835084,Eastern Gray Squirrel,"5:07, Thursday 10 17 24, Mostly sunny with some clouds in the sky, Slight breeze, 72 degrees Fahrenheit Eastern Gray Squirrel (Sciurus carolinensis) observed at University of Central Florida Arboretum Trail, Orlando, FL, US.",Sciurus carolinensis; Eastern Gray Squirrel,observed,Trail,,,
184611904_0,184611904,Eastern Gray Squirrel,"Observed for the Home River BioBlitz 2023 Project for the Miami River s observations: Main project with all participating rivers: Eastern Gray Squirrel (Sciurus carolinensis) observed at Grapeland Heights, Miami, FL, USA.",Sciurus carolinensis; Eastern Gray Squirrel,Observed; observed,River,,,
154754636_0,154754636,Wild Boar,"It s really honestly trashy pictures but it is one hundred percent a wild boar two juveniles crossed the road and we re in the bushes Wild Boar (Sus scrofa) observed at Canaveral National Seashore, Edgewater, FL, US.",Sus scrofa; Wild Boar; wild boar,observed,road,,,
182967047_5,182967047,Eastern Gray Squirrel,"Geographically, squirrels are known to reside in urban, grassy areas in every continent except Australia and Antartica. references: Eastern Gray Squirrel (Sciurus carolinensis) observed at Historic Old Northeast, St.",Sciurus carolinensis; Eastern Gray Squirrel,observed,urban,,,
184859832_0,184859832,Virginia Opossum,"Observed for the Home River BioBlitz 2023 Project for the Miami River s observations: Main project with all participating rivers: Virginia Opossum (Didelphis virginiana) observed at Grapeland Heights, Miami, FL, USA.",Virginia Opossum; Didelphis virginiana,Observed; observed,River,,,
200471798_0,200471798,Eastern Woodrat,"I found this little guy walking around in my backyard and followed him to his burrow, which might have been flooded from the rain yesterday Eastern Woodrat (Neotoma floridana) observed at Brooksville, FL 34614, USA.",Eastern Woodrat; Neotoma floridana,walking; observed; found,backyard,,,
184878265_0,184878265,Eastern Gray Squirrel,"Observed for the Home River BioBlitz 2023 Project for the Miami River s observations: Main project with all participating rivers: Eastern Gray Squirrel (Sciurus carolinensis) observed at Allapattah, Miami, FL, USA.",Sciurus carolinensis; Eastern Gray Squirrel,Observed; observed,River,,,
220484729_0,220484729,Eastern Cottontail,"this little guy found our rosebush and thought it would be a tasty snack! it s okay, peter rabbit is safe in this garden :) Eastern Cottontail (Sylvilagus floridanus) observed at Porpoise Cove, Cocoa Beach, FL, US.",rabbit; Sylvilagus floridanus; Eastern Cottontail,observed; found,garden; Beach,,,
241393348_2,241393348,Eastern Gray Squirrel,"My apartment complex parking lot I was on my way home from class and spotted this squirrel hanging out in the parking lot :) Eastern Gray Squirrel (Sciurus carolinensis) observed at Alachua, Florida, United States.",Sciurus carolinensis; squirrel; Eastern Gray Squirrel,spotted; observed,parking lot,,,
157912866_0,157912866,Mexican Long-nosed Armadillo,"- Part of the skeletal structure - See additional photo - City Nature Challenge 2023, South Florida Mexican Long-nosed Armadillo (Dasypus mexicanus) observed at Okeeheelee Nature Trails, West Palm Beach, FL, USA.",Mexican Long-nosed Armadillo,observed,Beach,,,
212769194_0,212769194,Marsh Rabbit,"not sure if wild or a pet ? they are somewhat skittish but mostly okay with people and will come right up to sniff or lick you Marsh Rabbit (Sylvilagus palustris) observed at S Atlantic Ave, Cocoa Beach, FL, US.",Marsh Rabbit; Sylvilagus palustris,observed,Beach,,,
239516888_0,239516888,Mexican Long-nosed Armadillo,"Lake Monroe Conservation Area, Brickyard Slough, Volusia County, August 2024 Mexican Long-nosed Armadillo (Dasypus mexicanus) observed at Lake Monroe Conservation Area, Brickyard Slough, Volusia County, FL, USA.",Mexican Long-nosed Armadillo,observed,Slough; Lake,,,
254810215_0,254810215,Virginia Opossum,"DOR Virginia opossum near PP 146; fresh but bad condition; removed from road at 9:00am Virginia Opossum (Didelphis virginiana) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Virginia opossum; Virginia Opossum; Didelphis virginiana,observed,Park; road; Hammock,,,
194575718_0,194575718,Virginia Opossum,"Virginia opossum, DOR 8:20, collared by CLNWR, good condition, taken off road PP150 Virginia Opossum (Didelphis virginiana) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Virginia opossum; Virginia Opossum; Didelphis virginiana,observed,Park; road; Hammock,,,
218885832_0,218885832,Virginia Opossum,"DOR PP 188; suspected collared OP, collar found about 10ft away; moderate condition Virginia Opossum (Didelphis virginiana) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Virginia Opossum; Didelphis virginiana,observed; found,Park; Hammock,,,
199060980_0,199060980,Mexican Long-nosed Armadillo,"Park ranger noticed injuries and is going to notify someone about getting it checked out Mexican Long-nosed Armadillo (Dasypus mexicanus) observed at Paynes Prairie Preserve State Park, Gainesville, FL, US.",Mexican Long-nosed Armadillo,observed,Paynes Prairie; Park,,,
220700662_0,220700662,Marsh Rabbit,"I m pretty sure this is the same Marsh rabbit from this observation, taken earlier this same day: Marsh Rabbit (Sylvilagus palustris) observed at Johnson Beach National Seashore, Perdido Key, FL 32507, USA.",Marsh Rabbit; Sylvilagus palustris; Marsh rabbit,observed,Beach,,,
200461550_0,200461550,Common Raccoon,"Striped tail Fur has different shades of brown Tail is stripped Black around eyes Hiding in bushes Found in forest area Common Raccoon (Procyon lotor) observed at Ocala National Forest, Fort McCoy, FL, US.",Common Raccoon; Procyon lotor,Found; observed,Ocala National Forest; forest,,,
154753448_0,154753448,Florida Manatee,"In groups I recommend to rent kayaks at Gulf Islands National Seashore possibly even 175 individuals are said to live in the area Florida Manatee (Trichechus manatus latirostris) observed at Florida, US.",Florida Manatee; Trichechus manatus latirostris,observed,Gulf,,,
191396408_5,191396408,White-tailed Deer,"White-tailed Deer (Odocoileus virginianus) observed at Florida, Hernando, Chassahowitzka Wildlife and Environmental Area, 3 Bridge Road north and northeast of the junction with Thunder's Crossing Road.",Odocoileus virginianus; White-tailed Deer,Crossing; observed,Road,,,
254950954_2,254950954,Coyote,"More info about the Hole-in-the-Donut: Hole-in-the-Donut project on iNaturalist: All of our observations from this full day of field work: Coyote (Canis latrans) observed at Miami-Dade County, FL, USA.",Coyote; Canis latrans,observed,field,,,
147582402_0,147582402,Southern Flying Squirrel,"During Moonlight Stroll Event (listen for the squeaks in between the noisy people) Erna Nixon Park Southern Flying Squirrel (Glaucomys volans) observed at 1200 Evans Rd, West Melbourne, FL 32904, USA.",Squirrel,observed; Flying,Park,,,
190233849_0,190233849,Eastern Gray Squirrel,"Eastern Gray Squirrel DOR 2:20 good condition, PP148 removed from road Eastern Gray Squirrel (Sciurus carolinensis) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Sciurus carolinensis; Eastern Gray Squirrel,observed,Park; road; Hammock,,,
221799152_0,221799152,Virginia Opossum,"DOR Virginia Opossum at PP201; good condition; removed from road 8:41 am Virginia Opossum (Didelphis virginiana) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Virginia Opossum; Didelphis virginiana,observed,Park; road; Hammock,,,
253364041_2,253364041,Florida White-tailed Deer,"More info about the Hole-in-the-Donut: All of our observations from this full day of field work: Florida White-tailed Deer (Odocoileus virginianus seminolus) observed at Miami-Dade County, FL, USA.",Odocoileus virginianus; White-tailed Deer,observed,field,,,
181395417_0,181395417,Coyote,"claws present, dogs are not allowed here and tracks were not seen elsewhere, and I ahve seen coyotes here before on this side of the park Coyote (Canis latrans) observed at Orange County, FL, USA.",Coyote; Canis latrans,observed; seen,park,,,
194696090_0,194696090,Eastern Cottontail,"Brown in color, about a foot long, they were pretty calm when I came over but soon after ran away, Eastern Cottontail (Sylvilagus floridanus) observed at Disney's Riviera Resort, Bay Lake, FL, US.",Sylvilagus floridanus; Eastern Cottontail,observed,Lake; Bay,,,
197223218_0,197223218,Eastern Gray Squirrel,"Florida day 3: Tate s Hell: Cash Creek High Bluff Coastal Trail: inaturalist.org calendar lincolndurey 2023 11 5 Eastern Gray Squirrel (Sciurus carolinensis) observed at Carrabelle, FL 32322, USA.",Sciurus carolinensis; Eastern Gray Squirrel,observed,Trail; Creek,,,
197339167_0,197339167,Eastern Gray Squirrel,"This squirrel was walked around in a parking lot on people s cars, it was tiny, fast and had a really long tail maybe about 3 feet long Eastern Gray Squirrel (Sciurus carolinensis) observed at St.",Sciurus carolinensis; squirrel; Eastern Gray Squirrel,observed,parking lot,,,
158438599_0,158438599,White-tailed Deer,"- Male, 8-point buck - See additional photos - City Nature Challenge 2023, South Florida White-tailed Deer (Odocoileus virginianus) observed at Okeeheelee Nature Trails, West Palm Beach, FL, USA.",Odocoileus virginianus; White-tailed Deer,observed,Beach,,,
169282627_0,169282627,Eastern Gray Squirrel,"Observed as part of work with the Tampa Audubon Society at Lettuce Lake Park. eBird Checklist: Eastern Gray Squirrel (Sciurus carolinensis) observed at 6920 E Fletcher Ave, Tampa, FL 33637, USA.",Sciurus carolinensis; Eastern Gray Squirrel,Observed; observed,Lake; Park,,,
188265012_0,188265012,Virginia Opossum,"Virginia Opossum DOR 11:20am, good condition, removed from road PP224 Virginia Opossum (Didelphis virginiana) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Virginia Opossum; Didelphis virginiana,observed,Park; road; Hammock,,,
248839681_0,248839681,Eastern Gray Squirrel,Visual has a bushy tail with grayish-brown fur habitat: woodland and urban areas in North America reference: Eastern Gray Squirrel (Sciurus carolinensis) observed at university of south florida.,Sciurus carolinensis; Eastern Gray Squirrel,observed,woodland; urban,,,
202080595_0,202080595,North American River Otter,"To swimming east in Joe s creek right at the intersection of where drainage ditch enters Joe s Creek North American River Otter (Lontra canadensis) observed at 43rd Ave N, Kenneth City, FL, US.",North American River Otter; Lontra canadensis,swimming; observed,creek; ditch; Creek,,,
203586697_0,203586697,White-tailed Deer,"If you want some actual good wildlife photography follow me gavinthewildlifeguy on Instagram and YouTube White-tailed Deer (Odocoileus virginianus) observed at 45th St, West Palm Beach, FL, US.",Odocoileus virginianus; White-tailed Deer,observed,Beach,,,
206409007_0,206409007,Virginia Opossum,"Virginia Opossum DOR; good-ish condition; 8:11 am; removed from road Virginia Opossum (Didelphis virginiana) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Virginia Opossum; Didelphis virginiana,observed,Park; road; Hammock,,,
244761257_0,244761257,White-tailed Deer,"In a natural area where there is no hunting. 10 pointer - rare sight Loxahatchee Slough, PBC, FL White-tailed Deer (Odocoileus virginianus) observed at Loxahatchee Slough Natural Area, FL, USA.",Odocoileus virginianus; White-tailed Deer,hunting; observed,Slough,,,
157655184_0,157655184,Florida Manatee,"Did not pursue or attempt to interact with the manatee - just photographed it within the designated park swimming area Florida Manatee (Trichechus manatus latirostris) observed at Florida, US.",manatee; Florida Manatee; Trichechus manatus latirostris,swimming; observed; photographed,park,,,
167522284_0,167522284,Eastern Gray Squirrel,"Deuterostome; Western Gray Squirrel observed in Lettuce Lake Park at 12:42pm on 6 13 23 Eastern Gray Squirrel (Sciurus carolinensis) observed at Lettuce Lake Conservation Park, Tampa, FL, US.",Gray Squirrel; Sciurus carolinensis; Eastern Gray Squirrel,observed,Lake; Park,,,
256542099_0,256542099,Eastern Mole,"Long convex trail with a fork running across a sand dune - hump about two inches across and about seven feet long Eastern Mole (Scalopus aquaticus) observed at Melbourne Beach, FL 32951, USA.",Eastern Mole; Scalopus aquaticus,observed; running,Beach; trail,,,
152983166_2,152983166,Domestic Cat,"My cat is harness trained so I took him out there to compare and the size is pretty close so it s probably a house cat Domestic Cat (Felis catus) observed at Lake McCoy, Lake Placid, FL, US.",cat; Felis catus; Domestic Cat,observed,Lake,,,
187097775_0,187097775,Eastern Gray Squirrel,"Hog Hammock amp; Promontory Trail - Grassy Waters Preserve, PBC, FL Eastern Gray Squirrel (Sciurus carolinensis) observed at Hog Hammock & Promontory Trail, Grassy Waters Preserve, FL, USA.",Sciurus carolinensis; Eastern Gray Squirrel,observed,Trail; Hammock,,,
197460947_0,197460947,Virginia Opossum,"Virginia Opossum DOR 9:09, bad condition PP222 removed from road Virginia Opossum (Didelphis virginiana) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Virginia Opossum; Didelphis virginiana,observed,Park; road; Hammock,,,
145998947_0,145998947,Common Raccoon,"Observed walking out of the mangroves Weather was sunny, around 60 degrees Around the size of a dsh cat Common Raccoon (Procyon lotor) observed at Eckerd College, Saint Petersburg, FL, US.",cat; Common Raccoon; Procyon lotor,Observed; walking; observed,mangroves,,,
203969967_0,203969967,Virginia Opossum,"PP 29, DOR, fresh - body not yet stiff, good condition and a very large thick opossum, moved off of road Virginia Opossum (Didelphis virginiana) observed at North Key Largo, FL 33037, USA.",Didelphis virginiana; Virginia Opossum; opossum,observed,road,,,
163891731_0,163891731,Eastern Gray Squirrel,"Wanted to make sure this wasn t a fox squirrel because this thing was disgustingly large Eastern Gray Squirrel (Sciurus carolinensis) observed at Roberts Blvd, Fort Walton Beach, FL, US.",fox squirrel; Sciurus carolinensis; Eastern Gray Squirrel,observed,Beach,,,
150584154_0,150584154,Eastern Gray Squirrel,"Found in a small park near the beach with palm, oak, and other trees that I observed the squirrel eating seeds from Eastern Gray Squirrel (Sciurus carolinensis) observed at Florida, US.",Sciurus carolinensis; squirrel; Eastern Gray Squirrel,Found; observed; eating,park; beach,,,
159146785_0,159146785,Virginia Opossum,"Good condition. 0845 Virginia Opossum (Didelphis virginiana) observed at Dagny Johnson Key Largo Hammock Botanical State Park, County Rd 905 & Mile Marker 106, Key Largo, FL 33037, USA.",Virginia Opossum; Didelphis virginiana,observed,Park; Hammock,,,
247055319_0,247055319,Eastern Gray Squirrel,"Small brown squirrel with slender body, bushy tail and large black eyes Eastern Gray Squirrel (Sciurus carolinensis) observed at North Anclote River Nature Park, Tarpon Springs, FL, US.",Sciurus carolinensis; squirrel; Eastern Gray Squirrel,observed,River; Park,,,
251456345_0,251456345,Virginia Opossum,"PP 131 DOR, fresh but in horrible condition, moved off road Had old scar from ear tag when very young Virginia Opossum (Didelphis virginiana) observed at North Key Largo, FL 33037, USA.",Virginia Opossum; Didelphis virginiana,observed,road,,,
251848377_0,251848377,Key Deer,"Florida Keys National Wildlife Refuges Nature Center, Marathon, Big Pine Key, Monroe County, FL Key Deer (Odocoileus virginianus clavium) observed at Big Pine Key, Big Pine Key, FL, US.",Key Deer; Odocoileus virginianus clavium,observed,Florida Keys,,,
256180401_0,256180401,Eastern Gray Squirrel,"This one is more orange then I ve ever seen one be but he hangs out around our porch s trees Eastern Gray Squirrel (Sciurus carolinensis) observed at Paddington Ln, Spring Hill, FL, US.",Sciurus carolinensis; Eastern Gray Squirrel,observed; seen,Spring,,,
150339008_1,150339008,Eastern Gray Squirrel,"Rotund body with small head and small pointy ears Seen at Lettuce Lake Park in the swamp habitat Eastern Gray Squirrel (Sciurus carolinensis) observed at E Fletcher Ave, Tampa, FL, US.",Sciurus carolinensis; Eastern Gray Squirrel,observed; Seen,swamp; Lake; Park,,,
156114057_0,156114057,Eastern Gray Squirrel,"Observed on a birding trip at Lettuce Lake Park with neil712 . eBird Checklist can be found here: Eastern Gray Squirrel (Sciurus carolinensis) observed at Hillsborough County, FL, USA.",Sciurus carolinensis; Eastern Gray Squirrel,Observed; observed; found,Lake; Park,,,
152469321_0,152469321,Wild Boar,"No, that isn t a pigfish hunting for food in the shallows, it s a boar s head in the Black Creek. (unfortunately not the deli meat) Wild Boar (Sus scrofa) observed at Goulds, FL, USA.",Sus scrofa; boar; Wild Boar,hunting; observed,Creek,,,
158437318_0,158437318,White-tailed Deer,"- Female - See additional photos - City Nature Challenge 2023, South Florida White-tailed Deer (Odocoileus virginianus) observed at Okeeheelee Nature Trails, West Palm Beach, FL, USA.",Odocoileus virginianus; White-tailed Deer,observed,Beach,,,
173855573_0,173855573,Eastern Gray Squirrel,"I don t know how this is my first photo of a squirrel on here but I got lucky in Miami Eastern Gray Squirrel (Sciurus carolinensis) observed at South Pointe Park, Miami Beach, FL, US.",Sciurus carolinensis; squirrel; Eastern Gray Squirrel,observed,Beach; Park,,,
200147080_0,200147080,Virginia Opossum,"Not that common in this neighborhood they re about as common as a peregrine falcon in this neighborhood Virginia Opossum (Didelphis virginiana) observed at NE 56th St, Miami, FL, US.",Virginia Opossum; Didelphis virginiana,observed,neighborhood,,,
150921481_0,150921481,White-tailed Deer,"4 in a family with two smaller ones foraging along roadside in park White-tailed Deer (Odocoileus virginianus) observed at Kissimmee Prairie Preserve State Park, Okeechobee, FL, US.",Odocoileus virginianus; White-tailed Deer,observed; foraging,Park; park; Prairie,,,
168228007_0,168228007,Sherman's Fox Squirrel,"I don t know what this was but it wasn t a squirrel unless it was the king of squirrels Sherman's Fox Squirrel (Sciurus niger shermani) observed at Barclay Ave, Spring Hill, FL, US.",Fox Squirrel; squirrel; Sciurus niger,observed,Spring,,,
184907815_1,184907815,Wild Boar,"Difficult to tell shape without movement but this is the best I can upload unfortunately Wild Boar (Sus scrofa) observed at San Felasco Hammock Preserve State Park, Alachua, FL, US.",Sus scrofa; Wild Boar,observed,Park; Hammock,,,
188399667_0,188399667,Common Raccoon,"Common raccoon DOR 12:50, good condition removed from road, PP239 Common Raccoon (Procyon lotor) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Common Raccoon; Procyon lotor; Common raccoon,observed,Park; road; Hammock,,,
189461754_0,189461754,Common Raccoon,"Common raccoon, DOR 8:50, good condition PP198, removed from road Common Raccoon (Procyon lotor) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Common Raccoon; Procyon lotor; Common raccoon,observed,Park; road; Hammock,,,
208780608_0,208780608,Common Raccoon,"DOR common raccoon pp244; 5:22; good condition; removed from road Common Raccoon (Procyon lotor) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Common Raccoon; Procyon lotor; common raccoon,observed,Park; road; Hammock,,,
159476260_0,159476260,Marsh Rabbit,"- See additional photo - City Nature Challenge 2023, South Florida Marsh Rabbit (Sylvilagus palustris) observed at Green Cay Nature Center & Wetlands, Boynton Beach, FL 33437, USA.",Marsh Rabbit; Sylvilagus palustris,observed,Beach,,,
171054383_0,171054383,White-tailed Deer,"Deer hoof print observed during a short hike at Price s Scrub State Park in Micanopy near Gainsville White-tailed Deer (Odocoileus virginianus) observed at Micanopy, FL 32667, USA.",Deer; Odocoileus virginianus; White-tailed Deer,observed,Scrub; Park,,,
220880821_0,220880821,Common Raccoon,"DOR raccoon at PP 176; good condition; removed from road 9:35am Common Raccoon (Procyon lotor) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Common Raccoon; raccoon; Procyon lotor,observed,Park; road; Hammock,,,
163763533_0,163763533,Mexican Long-nosed Armadillo,"The first of six armadillos I saw at Blue Spring (and the first I ve ever seen in the wild!!!) Mexican Long-nosed Armadillo (Dasypus mexicanus) observed at Eustis, FL 32736, USA.",Mexican Long-nosed Armadillo,observed; seen,Spring,,,
200911000_0,200911000,Common Raccoon,"Common Raccoon DOR 10:10 bad condition, removed from road, PP8 Common Raccoon (Procyon lotor) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Common Raccoon; Procyon lotor,observed,Park; road; Hammock,,,
206347242_0,206347242,Virginia Opossum,"DOR, old and in very bad condition, mostly decomposed with ants and beetles, moved off of road Virginia Opossum (Didelphis virginiana) observed at North Key Largo, FL 33037, USA.",Virginia Opossum; Didelphis virginiana,observed,road,,,
250348061_0,250348061,Common Raccoon,"Weather: 27 degrees Celsius and windy walking out of the mangroves to the boats on the docks Common Raccoon (Procyon lotor) observed at Eckerd College, Saint Petersburg, FL, US.",Common Raccoon; Procyon lotor,walking; observed,mangroves,,,
192412198_0,192412198,Coyote,"extremely unlikely but it looks large and coloration made me think it had red wolf genetics Coyote (Canis latrans) observed at Camp Helen State Park, Panama City Beach, FL, US.",Coyote; Canis latrans,observed,Beach; Park,,,
256102275_0,256102275,American Black Bear,"Left front in photo; but direct register for most of the trail American Black Bear (Ursus americanus) observed at Point Washington State Forest Trail, Santa Rosa Beach, FL, US.",Black Bear,observed,Forest; Trail; Beach; trail,,,
196847556_0,196847556,Virginia Opossum,"Virginia opossum DOR, 11:30 PP153 on road shoulder Virginia Opossum (Didelphis virginiana) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Virginia opossum; Virginia Opossum; Didelphis virginiana,observed,Park; road; Hammock,,,
223809753_0,223809753,Common Bottlenose Dolphin,"There were a bunch and they jumped out of the water so Im sure its dolphins Common Bottlenose Dolphin (Tursiops truncatus) observed at Santa Rosa Sound, Navarre Beach, FL, US.",Tursiops truncatus; Common Bottlenose Dolphin,observed,Beach,,,
218693467_0,218693467,Eastern Cottontail,"Lake Monroe Conservation Area, LB, Volusia County, FL, May 2024 Eastern Cottontail (Sylvilagus floridanus) observed at Lake Monroe Conservation Area, Volusia County, FL, USA.",Sylvilagus floridanus; Eastern Cottontail,observed,Lake,,,
